"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Search results should show the search term in the title","SUCCESS","2020-06-18T11:38:35.222+07:00[Asia/Bangkok]","0.0","11.13"
"Shoppe story","Click items shopee","SUCCESS","2020-06-18T14:59:04.669+07:00[Asia/Bangkok]","0.0","17.06"
